species_ID,tailpipe_length_width_th,paddle_length_width_th,body_length_width_th,coronae_length_th
fluvica,16.21,2.71,24.82,1.22
rhathyme,12.74,2.78,23.57,2.36
appalachiensis,16.48,2.79,26.78,1.67
inextricata,16.29,2.85,24.35,1.72
calciphala,16.54,2.73,29.12,1.68
auricula,10.42,2.42,24.49,2.35
torrenticola,15.12,2.64,22.26,2.1
sierranevadensis,12.16,2.18,22.7,2.13
borkenti,8.38,1.93,23.19,2.25
distincta,9.19,2.2,23.45,2.29
gelhausi,7.75,2.39,20.95,2.12
rudis,9.5,1.55,22.29,2.46
turneri,8.67,2.45,22.3,2.26
johannseni,8.91,2.67,21.72,2.19
pycta,8.53,2.59,24.31,2.32
lobata,19.5,16.83,30.54,2.38
xavia,16.92,24.22,29.35,2.46
merjalisco,13.26,4.31,25.87,1.94
midahoensis,15.1,5.19,28.32,1.77
arge,20.2,16.34,31.42,2.23
